gender,parental level of education,math score,reading score,writing score,final score
female,bachelor's degree,72,72,74,72.66666666666667
female,some college,69,90,88,82.33333333333333
female,master's degree,90,95,93,92.66666666666667
male,associate's degree,47,57,44,49.333333333333336
male,some college,76,78,75,76.33333333333333
female,associate's degree,71,83,78,77.33333333333333
female,some college,88,95,92,91.66666666666667
male,some college,40,43,39,40.666666666666664
male,high school,64,64,67,65.0
female,high school,38,60,50,49.333333333333336
male,associate's degree,58,54,52,54.666666666666664
male,associate's degree,40,52,43,45.0
female,high school,65,81,73,73.0
male,some college,78,72,70,73.33333333333333
female,master's degree,50,53,58,53.666666666666664
female,some high school,69,75,78,74.0
male,high school,88,89,86,87.66666666666667
male,master's degree,46,42,46,44.666666666666664
female,associate's degree,54,58,61,57.666666666666664
male,high school,66,69,63,66.0
female,some college,65,75,70,70.0
male,some college,44,54,53,50.333333333333336
female,some high school,69,73,73,71.66666666666667
male,bachelor's degree,74,71,80,75.0
male,master's degree,73,74,72,73.0
male,some college,69,54,55,59.333333333333336
female,bachelor's degree,67,69,75,70.33333333333333
male,high school,70,70,65,68.33333333333333
female,master's degree,62,70,75,69.0
female,some college,69,74,74,72.33333333333333
female,some college,63,65,61,63.0
female,master's degree,56,72,65,64.33333333333333
male,some college,40,42,38,40.0
male,some college,97,87,82,88.66666666666667
male,associate's degree,81,81,79,80.33333333333333
female,associate's degree,74,81,83,79.33333333333333
female,some high school,50,64,59,57.666666666666664
female,associate's degree,75,90,88,84.33333333333333
male,associate's degree,57,56,57,56.666666666666664
male,associate's degree,55,61,54,56.666666666666664
female,associate's degree,58,73,68,66.33333333333333
female,associate's degree,53,58,65,58.666666666666664
male,some college,59,65,66,63.333333333333336
female,associate's degree,50,56,54,53.333333333333336
male,associate's degree,65,54,57,58.666666666666664
female,associate's degree,55,65,62,60.666666666666664
female,high school,66,71,76,71.0
female,associate's degree,57,74,76,69.0
male,high school,82,84,82,82.66666666666667
male,some college,53,55,48,52.0
male,associate's degree,77,69,68,71.33333333333333
male,some college,53,44,42,46.333333333333336
male,high school,88,78,75,80.33333333333333
female,some high school,71,84,87,80.66666666666667
female,high school,33,41,43,39.0
female,associate's degree,82,85,86,84.33333333333333
male,associate's degree,52,55,49,52.0
male,some college,58,59,58,58.333333333333336
male,bachelor's degree,79,74,72,75.0
male,some high school,39,39,34,37.333333333333336
male,associate's degree,62,61,55,59.333333333333336
female,associate's degree,69,80,71,73.33333333333333
female,some high school,59,58,59,58.666666666666664
male,some high school,67,64,61,64.0
male,some high school,45,37,37,39.666666666666664
female,some college,60,72,74,68.66666666666667
male,associate's degree,61,58,56,58.333333333333336
female,associate's degree,39,64,57,53.333333333333336
female,some college,58,63,73,64.66666666666667
male,some college,63,55,63,60.333333333333336
female,associate's degree,41,51,48,46.666666666666664
male,some high school,61,57,56,58.0
male,some high school,49,49,41,46.333333333333336
male,associate's degree,44,41,38,41.0
male,bachelor's degree,80,78,81,79.66666666666667
female,some high school,61,74,72,69.0
female,master's degree,62,68,68,66.0
female,associate's degree,47,49,50,48.666666666666664
male,high school,49,45,45,46.333333333333336
male,some college,50,47,54,50.333333333333336
male,associate's degree,72,64,63,66.33333333333333
male,high school,42,39,34,38.333333333333336
female,some college,73,80,82,78.33333333333333
female,some college,76,83,88,82.33333333333333
female,associate's degree,71,71,74,72.0
female,some college,58,70,67,65.0
female,some high school,73,86,82,80.33333333333333
female,bachelor's degree,65,72,74,70.33333333333333
male,high school,27,34,36,32.333333333333336
male,high school,71,79,71,73.66666666666667
male,associate's degree,43,45,50,46.0
female,some college,79,86,92,85.66666666666667
male,associate's degree,78,81,82,80.33333333333333
male,some high school,65,66,62,64.33333333333333
female,some college,63,72,70,68.33333333333333
female,some college,58,67,62,62.333333333333336
female,bachelor's degree,65,67,62,64.66666666666667
male,some college,79,67,67,71.0
male,bachelor's degree,68,74,74,72.0
female,associate's degree,85,91,89,88.33333333333333
male,high school,60,44,47,50.333333333333336
male,some college,98,86,90,91.33333333333333
female,some college,58,67,72,65.66666666666667
female,master's degree,87,100,100,95.66666666666667
male,associate's degree,66,63,64,64.33333333333333
female,associate's degree,52,76,70,66.0
female,some high school,70,64,72,68.66666666666667
female,associate's degree,77,89,98,88.0
male,high school,62,55,49,55.333333333333336
male,associate's degree,54,53,47,51.333333333333336
female,some college,51,58,54,54.333333333333336
female,bachelor's degree,99,100,100,99.66666666666667
male,high school,84,77,74,78.33333333333333
female,bachelor's degree,75,85,82,80.66666666666667
female,bachelor's degree,78,82,79,79.66666666666667
female,some high school,51,63,61,58.333333333333336
female,some college,55,69,65,63.0
female,bachelor's degree,79,92,89,86.66666666666667
male,associate's degree,91,89,92,90.66666666666667
female,some college,88,93,93,91.33333333333333
male,high school,63,57,56,58.666666666666664
male,some college,83,80,73,78.66666666666667
female,high school,87,95,86,89.33333333333333
male,some high school,72,68,67,69.0
male,some college,65,77,74,72.0
male,master's degree,82,82,74,79.33333333333333
female,bachelor's degree,51,49,51,50.333333333333336
male,master's degree,89,84,82,85.0
male,some high school,53,37,40,43.333333333333336
male,some college,87,74,70,77.0
female,some college,75,81,84,80.0
male,bachelor's degree,74,79,75,76.0
male,bachelor's degree,58,55,48,53.666666666666664
male,some high school,51,54,41,48.666666666666664
male,high school,70,55,56,60.333333333333336
female,associate's degree,59,66,67,64.0
male,some college,71,61,69,67.0
female,some high school,76,72,71,73.0
female,some college,59,62,64,61.666666666666664
female,some college,42,55,54,50.333333333333336
male,high school,57,43,47,49.0
male,some college,88,73,78,79.66666666666667
male,some high school,88,84,75,82.33333333333333
male,associate's degree,73,68,66,69.0
female,bachelor's degree,68,75,81,74.66666666666667
male,associate's degree,100,100,93,97.66666666666667
male,some high school,62,67,69,66.0
male,bachelor's degree,77,67,68,70.66666666666667
female,associate's degree,59,70,66,65.0
male,bachelor's degree,54,49,47,50.0
male,some high school,62,67,61,63.333333333333336
female,some college,70,89,88,82.33333333333333
female,high school,66,74,78,72.66666666666667
male,some college,60,60,60,60.0
female,associate's degree,61,86,87,78.0
male,associate's degree,66,62,64,64.0
male,associate's degree,82,78,74,78.0
female,some college,75,88,85,82.66666666666667
male,master's degree,49,53,52,51.333333333333336
male,high school,52,53,49,51.333333333333336
female,master's degree,81,92,91,88.0
female,bachelor's degree,96,100,100,98.66666666666667
male,high school,53,51,51,51.666666666666664
female,master's degree,58,76,78,70.66666666666667
female,high school,68,83,78,76.33333333333333
female,some college,67,75,70,70.66666666666667
male,high school,72,73,74,73.0
male,some high school,94,88,78,86.66666666666667
female,some college,79,86,81,82.0
female,associate's degree,63,67,70,66.66666666666667
female,bachelor's degree,43,51,54,49.333333333333336
female,master's degree,81,91,87,86.33333333333333
female,high school,46,54,58,52.666666666666664
female,associate's degree,71,77,77,75.0
female,master's degree,52,70,62,61.333333333333336
female,some high school,97,100,100,99.0
male,master's degree,62,68,75,68.33333333333333
female,some college,46,64,66,58.666666666666664
female,high school,50,50,47,49.0
female,associate's degree,65,69,70,68.0
male,some high school,45,52,49,48.666666666666664
male,associate's degree,65,67,65,65.66666666666667
male,high school,80,76,65,73.66666666666667
male,some high school,62,66,68,65.33333333333333
male,some high school,48,52,45,48.333333333333336
female,bachelor's degree,77,88,87,84.0
female,associate's degree,66,65,69,66.66666666666667
male,some college,76,83,79,79.33333333333333
female,some high school,62,64,66,64.0
male,some college,77,62,62,67.0
female,master's degree,69,84,85,79.33333333333333
male,associate's degree,61,55,52,56.0
male,some high school,59,69,65,64.33333333333333
male,high school,55,56,51,54.0
female,some college,45,53,55,51.0
female,bachelor's degree,78,79,76,77.66666666666667
female,associate's degree,67,84,86,79.0
female,some college,65,81,77,74.33333333333333
male,associate's degree,69,77,69,71.66666666666667
female,associate's degree,57,69,68,64.66666666666667
male,some college,59,41,42,47.333333333333336
male,some high school,74,71,78,74.33333333333333
male,bachelor's degree,82,62,62,68.66666666666667
male,high school,81,80,76,79.0
female,some college,74,81,76,77.0
female,some college,58,61,66,61.666666666666664
male,some high school,80,79,79,79.33333333333333
female,high school,42,62,60,54.666666666666664
male,associate's degree,60,51,56,55.666666666666664
male,high school,87,91,81,86.33333333333333
male,some high school,84,83,75,80.66666666666667
female,associate's degree,83,86,88,85.66666666666667
female,high school,34,42,39,38.333333333333336
male,high school,66,77,70,71.0
male,some high school,61,56,56,57.666666666666664
female,high school,56,68,74,66.0
male,associate's degree,87,85,73,81.66666666666667
female,some high school,55,65,62,60.666666666666664
male,some high school,86,80,75,80.33333333333333
female,associate's degree,52,66,73,63.666666666666664
female,master's degree,45,56,54,51.666666666666664
female,some college,72,72,71,71.66666666666667
male,high school,57,50,54,53.666666666666664
male,some high school,68,72,64,68.0
female,some college,88,95,94,92.33333333333333
male,some college,76,64,66,68.66666666666667
male,associate's degree,46,43,42,43.666666666666664
female,bachelor's degree,67,86,83,78.66666666666667
male,some high school,92,87,78,85.66666666666667
male,bachelor's degree,83,82,84,83.0
male,associate's degree,80,75,77,77.33333333333333
male,bachelor's degree,63,66,67,65.33333333333333
female,some high school,64,60,74,66.0
male,some college,54,52,51,52.333333333333336
male,associate's degree,84,80,80,81.33333333333333
male,high school,73,68,66,69.0
female,bachelor's degree,80,83,83,82.0
female,high school,56,52,55,54.333333333333336
male,some college,59,51,43,51.0
male,some high school,75,74,69,72.66666666666667
male,associate's degree,85,76,71,77.33333333333333
male,associate's degree,89,76,74,79.66666666666667
female,high school,58,70,68,65.33333333333333
female,high school,65,64,62,63.666666666666664
male,high school,68,60,53,60.333333333333336
male,some high school,47,49,49,48.333333333333336
female,some college,71,83,83,79.0
